JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Tax Associate,"GreerWalker, LLP","Charlotte, NC",30+ days ago,2020-09-03,"Participate in client meetings and serve as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and…",,https://www.indeed.com/rc/clk?jk=771e8edfdedc4c86&fccid=3c9696c129c591c6&vjs=3
Senior Income Tax Accountant,Premier Inc.,"Charlotte, NC",30+ days ago,2020-09-03,"In addition, Senior Tax Accountant will assist in various tax related projects including research, merger and acquisition, tax planning strategies and analysis…",,https://www.indeed.com/rc/clk?jk=ec4bc35bee7665eb&fccid=11802080879afc60&vjs=3
Sr Internal Audit & Controls Analyst,Jeld-Wen Inc.,"Charlotte, NC",30+ days ago,2020-09-03,"Assist the independent registered public accountants, as applicable. Summary: The Senior Internal Auditor will be responsible for planning, performing,…",,https://www.indeed.com/rc/clk?jk=5bdedae84e8f8e1d&fccid=898ccbeb1f000013&vjs=3
Sr. Internal Auditor - Corporate Treasury,SunTrust,"Charlotte, NC",30+ days ago,2020-09-03,"Other responsibilities include assistance in the ongoing risk assessment of one or more auditable units, staying abreast of applicable regulations and relevant…",,https://www.indeed.com/rc/clk?jk=d3916d812afa9f5a&fccid=131f8387a45b81d9&vjs=3
Senior Internal Auditor – Compliance Risk,Truist Financial,"Charlotte, NC",21 days ago,2020-09-03,"F. addressing material issues with senior management. B. planning, scoping and developing the audit test plan. 1st shift (United States of America).",,https://www.indeed.com/rc/clk?jk=a6f2e672e3e95164&fccid=035229327af06091&vjs=3
Senior Tax Accountant,Therapy Brands,United States,13 days ago,2020-09-03,"Coordinate review of prepared tax work with outside tax firm. Responsible for preparation of Company federal and state income tax returns and K-1 package,…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWzmAA4D_WVD5cyOYH3nJamrzsUZoGan403fICSzEd_OHCQcvwEGEMV0Ub-yLEBu1uwIwh5DHReT_ayH59-yKPVZsqQzGmubxNgKA9rcdpZFASrw9C8ggHKVTNze0qO58xtbUhjrErqdvRmFhZNyjsXXnPAwOu8v7u9ARZB-6M02GCcx0yImX9Wg1OfLElaKRI13t0PkK5A81f9OOrgfymVwrDfzSxwxEI_U9bha7sDSvmATYfCTyzRB-lgd9xGtuVR6VI4__lN-BvCFYbggCDXRjhBOUi_C_vRCCR5PaBg8RLcMX7c65DRfA66LiGuUoq8w4W6VmeuchjyVnLElfg6KCXw2mUgYmEUaQ30KnSRdF8UPinyy5qonjN402Cda2Z8Ai-Znh5JvXDaqYp217HWrkuEELjJRBwvj6hHGD-NdiEarvcvxKS5beNEaK8aBj5JLkEGqzo-m88enHGQ-91a0l_XILsgrJRzoXCD6Lo7dM_Xn9CdrnxTuAxnUoCQlsHnbYNCO0hp3jBH2SZgGZn9EI2zK9hU9uSTyuJvqvXNlU3bO9Bo7gZvaIUKeLmmmWP0gPESPmxAwwuOePJuQbD8KyMdcWN5mKJYtuSLpxT7XjFGQUIv_8pKvSbog2C4QAw2rKapEGJmhSVbNYwou5G_4twB86HHLedXd3djSw5rBuFWf8hEwSr&p=6&fvj=0&vjs=3
International Corporate Tax Advisory (ICTA) Senior,EY,"Charlotte, NC",13 days ago,2020-09-03,"Tax due diligence, deal structuring, and post-acquisition planning experience and/or inbound and outbound transaction consulting with international tax research…",,https://www.indeed.com/rc/clk?jk=e39ba300ef075c87&fccid=1544766d4c2915b0&vjs=3
Senior Manager Indirect Tax,Lowe's,"Mooresville, NC",30+ days ago,2020-09-03,"Directs the payment of taxes, fees and licenses; overseeing the setup through Lowe\'s portals, input of jurisdictions, delivery and addressing of non-electronic…",,https://www.indeed.com/rc/clk?jk=39b49676bc5a503e&fccid=9a55d5dc8c10ef41&vjs=3
Corporate Tax Sr Manager,Wells Fargo,"Charlotte, NC",4 days ago,2020-09-03,"The position will provide senior level review of significant income tax matters, consultation on income tax conclusions and operational matters, and management…",,https://www.indeed.com/rc/clk?jk=9d9dc30bcb1ad364&fccid=78bbcd26e39621f5&vjs=3
Audit Senior Manager,Elliott Davis,"Charlotte, NC",30+ days ago,2020-09-03,Develop new business for firm through associations. 8+ years recent audit experience at a public accounting firm. Maintain client contact throughout the year.,,https://www.indeed.com/rc/clk?jk=ebae50ed4fe2398f&fccid=a3b99287cfeec2b7&vjs=3
Senior Audit Manager,Rives & Associates,"Charlotte, NC",30+ days ago,2020-09-03,BS/BA in Accounting (Masters in Accounting/Tax preferred). 10 plus years’ experience in Public Accounting. Experience managing multiple audit jobs.,,https://www.indeed.com/rc/clk?jk=af666a8ac53165d6&fccid=4341dbb9ab97d283&vjs=3
Tax Senior Manager - Construction,Elliott Davis,"Charlotte, NC",30+ days ago,2020-09-03,Collaborate cross-functionally within the firm to grow existing business and offer a variety of business solutions to clients and prospects.,,https://www.indeed.com/rc/clk?jk=67b02805b50f31b2&fccid=a3b99287cfeec2b7&vjs=3
State and Local Income Tax Sr. Consultant,Wells Fargo,"Charlotte, NC",7 days ago,2020-09-03,"They will research, develop and implement state tax planning ideas, develop knowledge of specific state assignments to become the internal and external point…",,https://www.indeed.com/rc/clk?jk=60be3fc693786d83&fccid=78bbcd26e39621f5&vjs=3
Senior Audit Manager / Community Bank,Wells Fargo,"Charlotte, NC",30+ days ago,2020-09-03,"Experience at a financial institution or accounting firm. Evaluate current audit approaches and practices, providing thought leadership on industry best…",,https://www.indeed.com/rc/clk?jk=561d2cf9db1666a7&fccid=78bbcd26e39621f5&vjs=3
International Tax Sr Assoc,RSM US LLP,"Charlotte, NC",30+ days ago,2020-09-03,"Dedicates time to coaching others in tax software, business process, research skills, technical expertise, planning and project management skills while engaging…",,https://www.indeed.com/rc/clk?jk=ae68b43627810fbc&fccid=198b7374e1f8a26f&vjs=3
Senior Associate - International Tax,CliftonLarsonAllen,"Charlotte, NC",16 days ago,2020-09-03,"This includes delivering a full range of global tax services including foreign tax credit planning, mergers and acquisitions, repatriation of earnings, treaty…",,https://www.indeed.com/rc/clk?jk=8675a82775cf46ef&fccid=48d824a044be0992&vjs=3
Senior Audit Manager - Change Assurance Center of Excellence,Truist Financial,"Charlotte, NC",30+ days ago,2020-09-03,"H. addressing material issues with senior management. B. planning, scoping and developing the audit test plan, organizing and using resources effectively to…",,https://www.indeed.com/rc/clk?jk=1ddf97f05d919d97&fccid=035229327af06091&vjs=3
Tax Senior Manager,CohnReznick,"Charlotte, NC",30+ days ago,2020-09-03,Identify opportunities to expand the scope of current engagements through identification of current client needs and target client requirements.,,https://www.indeed.com/rc/clk?jk=d8d8d56f4b5a965a&fccid=f0bade0760e83581&vjs=3
Audit Senior - CPA,VALiNTRY,"Charlotte, NC",30+ days ago,2020-09-03,"Prepare and actively participate in firm-sponsored and outside training, while keeping current on business and technical issues. BS or MS in Accounting.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQupff-bKJGdSDQWPFbT0QlOAOXVSqyJWirrcsbCQiwAhsuXAeOFWcly_Uvx0aRulVREAYuSMUJnMfS2pj0_lisiGg-HicF3T2acABpC8cuqAWYnyS982GC-d_k8LdoxEuvuthkKSVib4ntKSCPzOzBDsUJM1mIWOBQubK77TXYZXOU8l-nPLzKplMkORq8Z06JAFw2LpAO_cdPmO0iq3cce-xCErYvNHdIDUjAiJcXTjB7J2D9hfRE3UPamAd7i1j0a5OR8X77V0kcEIG2zQKsIK-H9IfHRb-Z75JtFnQIrMZIioiThr5J8H3QaJRJsn7yB80AMVCG40RiZ86OIS7-eTfrobZtXRMI2uuhHNFHuGB6vkzVyLdXahzFZbT1qxK_LD32d50b1zHlpD0JqoGuysbUO5WM2PHgRfuTRaV0xZpmNIl2AyDeuoANZCSpMvAlEdxVlBkvQCPM6N9FnbbiU5q3XEOT5qZglVYeHk_kzNgQWdn-Vrk6WC-aa8WdnkGK53Rv3sgJO43OWWPpVMYn0JsA2kLcZyKTk5mRTIdXHyZWryFXqBdZf1t_rzT9Rwnho0kpDoC95J7hGDx8_KlRjvCx3JsE1Luf5CVx8sQzqS9aqhmufLgt7nwuIfMV0Og9rHUazTgrsW_Va14Cu2FUoe0aY260PR8jusHLD4MuLkmhnQYBUlAqVTTJgVGMOc2fKvvf-UYPhu1BNAtNTKPwOfWRq67EJkB36nMrcIi2jwJf1EbGMLERuuM2P0L_B1gk32L4L76GIvEgQ4GW8zrVqb_XGHku6apSxs3cfJIjSf-ELjik0AtfxL1KUhM6eVz-9JJ3VoJkT8Xg343UstJiXoCnUTtM8OHD1Qnyo68Tsbp1Vo-iSsI6jsHRCit2Bwyr5XQMw7jp7ND01Eo619ceA2IFAQCrBN_GMv0lk60uM_qgbdWLrqnl3TjnTM8I1N_7TcWy1ZpOQhm_YeKPXZfMtMDGIANXERTCptga0Df2JHgHPwM7xoH4fIk51hoWZh-LhTKLnRdgsFO_ATeNwhm9Zh1b1m5XO_j17ZueZ01iMT0RaM5-freZA4NRc9-pb-Vu4g2i3TlI5fSdTiiCm3rbAg28gIA_jxD_sSHQBuVeOcTQw27YBgjnDw3pf9m353ZT144BIqEXHI6CYPJToGS1giBacSfb-QOr7dq8zfZlbszH_KdV5NJrv6VvmpRXa5H6y7eWlfsnA==&p=4&fvj=0&vjs=3
"Senior Manager, Domestic Tax",Ingersoll Rand,"Davidson, NC",30+ days ago,2020-09-03,"Candidate will also participate in various federal and state tax planning projects. Assist the Director, Tax in partnering with other business functions to…",,https://www.indeed.com/rc/clk?jk=019453bc083eb4ff&fccid=2e3453ae2db0c66d&vjs=3
Tax Senior - CPA,VALiNTRY,"Concord, NC",30+ days ago,2020-09-03,"Work closely with the tax department to ensure performance of tax planning, client interaction and special projects. Knowledge of tax software and MS Office.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQupff-bKJGdSDQWPFbT0QlOAOXVSqyJWirrcsbCQiwAhsuXAeOFWcly_Uvx0aRulVREAYuSMUJn63GJV3AolXlxSG6VMbgfLKurPTTpdaHhD3azGAqNckncLwjicRXodnKfge_TJoOIhvEbRWStFJS2OYOAB9jGGrHWm47yMjTB5gfoYGDA-KvxUuk5TU8Vr6ZkpIUTj0SB61ls-_GQ5u99v0sufJdosvGWmFNFyOg3s5KGOby7f1JrG3zyomZnl_0KQsvoK2dcn2qITjPKTf8-6A2xyh1_UFh_ybZPG4misiwwEUOIVGi_-NHcXZOc7nqaDwm74S02ms-fh1x-EISlas3VgQ4xWUuoum8im5Qk-1PuZC5Xx0WIArbjV1_EwwI73L2dPxiW0qEtL70PGB6uZHR-JWXSLt0t8mpbRRFVX6uiw7GicvSo0-gql99_fToPV5Y1W_Rpd-RoYv0ZD9aq47EEmQhoFPsWDfEHgXRPYbXmRXa2RGem7u5X44sInyh2vKZuLsPPEKCotMbxIxaKVZtU3gcIXT7la8SL7nimZIkGKcVYPGwUMHrPAXuA2oMklUzqfcU_0-_PU_kWqFltDB8nAldl9k2EDxzt-ZyEh7aEpsPWllLFcqC4-xAxDK5rOLY0fCl79k2aLkQmfYpctQhw78ACk7adVs5pd9y47UOG-nBMzFF-ofBAIkwGGy0LJaK2Is00YC9YjNlU0WbT8exI9ou0C0kgwoKQsokzjfTRujmtULZoJdTqdScpowQsslrPf9lTVfSOwVD-qFwjL9IaKqC3xAMBFwDvJ34KdASN1yQAhWj2pgg-JQJDIhOQE7dKt9667ooyp0C5gyTi4MuRE-2FD3IjWEpWNPAP-nNjJTiQ3R70ytV7iRGtcMy2ADXsMykvI7Vj2nPrAlxXbcP8c_raRQj--fHpU05LVRPO6h8evvvTs3gHArG4HWTzE8ciAN9UtNEFyb9p-WuSDMIk6-hKz4NGvqhWn6AQRH-1cwLP-yZdaB4yPVYyuifcFI3VE35A4Iu8nmbvKe8Ni3iMCw0qH4fALH3U959DAnJrePSuMW_Uhqwt3aVSOWkaCe6xkIdzuPBQb34nbL_jKXQnmA-CgjbWarqayE5-pE1G_Bi5qUTMUBG1BYeXmhTQFnVZH-zgs48Ox4gFBkrwxiFwNSIlMiWaQkWkvGD4iK1kUGg2oryItYWzD2aiTJZQO5GXRKBw==&p=6&fvj=0&vjs=3
Senior Tax Manager (Remote),Another Source,United States,16 days ago,2020-09-03,"Experience in tax preparation and planning for businesses, trusts/estates and/or individuals. Dark Horse CPAs provides accounting & tax services to small…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGqt214WDoVOy3Bk8bukjFOFKqvB8YwqHsj3c1eFt86r2j_JNrXrFVqnVkXRhfRPa2ouKwSIti2E-VY7jHUXy4jUkSR9itUB7V9mgJjxoJ02c2xZd-maqRURWQygaAML7--7oNaEZN-5L_vFNFj0a9pnDh4ged8vaZqSMD2Oy-84V5gNDeyXKp3UsVMxIohq3MMtjq4daHrjaNifnm7W3fQ9XeHTY6apS9xsDOIaoY1EjeOgF3kH0M_8iluEHc5Ht-1Ea1zcYXhPIa-z-kANoF2lCNfVLA80ZIvQgSREcVmBVIjwl3LE_bohm4Nz-_8OTgeaJ0EVoQLCMA4IY17wJk3P4UVZqrdrMKXtrHbOokug3f969tr48gWXbJLO5fG0s1DI-V_vSEp6W7zNFEKRHnjElkXiSApeSNKLOztmgzgXHTQ-sexOcgCl8DjXUnIU38kzM4Jv1tvLQGCGLeAteAwFq0FGGJi-rPGLEvqMUUzDexSrd5F8DE3AdSJk5dyjRuERIs3wrbvv4-kzOkDG3858RL82Cl_Iq9-hLQPTLPwgadNZoaRGCmPSa3zJNgYxcQNK7yB2Y11_GEXN790jHnX9WwbuG3AsLS0iiM4grN7XIiKGbExP4-QtTYUUOF06JwJ2YmKa6rdSkwVA9lSkmBFxnNlliBPAKOKxpiMbdWzCcd-IhqyFYEw-88jN7FW_-SZf3uBqoyDh0dC73pYneslmpWNCH6SQKTMBtVfKeDRCYYodFnWQcWpb5dUPM5BSopsYcC_6Kkimh90-k26D6QcEPrD5EfcORFaEVbo7Boxw==&p=7&fvj=0&vjs=3
