JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Accountant,AccruePartners,"Charlotte, NC",12 days ago,2020-09-03,Direct visibility and interaction with senior management and offers career advancement. Secured loan originator with national scope and customer base.,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrBJunaLrqvpKZY-mJ8fo929bGU2Bup7nrspHaJCA7dzCfHnURj8aR8lgJ9UQgbhfmLuxlhHPXc1kP2xTM7ITeiVnXPmVJ6majIwlM5-EQWySq8lti8HOF0cGbaCZ16pIICcpOFSRzjbAqGNavypPaIpkEpVMhvC6jXzAaMSj0jqnR3sbnj8uHAECpm5H8D1St1G_29b4FZ7n08xtDx_YPHvB2_GGwVRRuRj_QB31fgI_5p2ujfa-WAPaIkH2joPqF6HlV5mbvI7A0z4dQz58MIMYhPHd9418Qz3rCLYUXzHJB_UbGeY1_gYzJhQQHiS8EMniAhLFZLHf7Sxp59NfIdoduZBa0Dmb4r0VCbKHkzKr4T84nLHgDaatpdhFtUkuoUXxuShDCokCCsF4FJo3yMxcVd1HSKnlOwsgZ-ZdZQ1GMXOk_hTrwSk&p=1&fvj=0&vjs=3
Senior Accountant,Commercial Credit Group,"Charlotte, NC",30+ days ago,2020-09-03,"The Senior Accountant ensures the integrity of accounting data by recording, verifying, and consolidating transactions for a Commercial Finance business.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ckbjaw4Q0dRT0YLc9RYl82KG8jKHfeJJWK1M-sDYTDPxoG8b9ZQRqgphJYWKY9bEqmxOXW86GlerA1XeXf0jmMUQNt2LxL9eFGmsRUeFM-bA6T6NgARY_W27r5Hz3QEwC5OWIXERHGcV2NugqPN2whIAgoYB8gjCU2EpwhokhCI6D9XX9S0j7mhkw64oVBLo10mngnfDlsCSwnhC6vHTxbn7dJMTCbmDdyhbZsNgQReHK-JhYXQHOwqR-0_3TuVkGGLIHX5bjQP0zQlL18J9sm4ZmSYRDgCtE36AaGHVAtWg9SUHWy77bBJRRnCEfqzoMZTkNu-Y1GY2hr1CLprwHdEcEaFaFEF4mZ2aj4BuUSZMHqPpkxpIZ_W1WDIxm4L7db6DO03fQ_ySL7T2Yfz9jsnd5-xLbFpL46D15xk09pYIzt_uVRVHc1nyydtHVsxER-BMXxz6yCXIHiEK1cXhUz&p=2&fvj=1&vjs=3
Senior Accountant,Wilkinson ERA Real Estate,"Charlotte, NC",30+ days ago,2020-09-03,Proven work experience as a senior-level Accountant. Communicate with various levels of senior management as requested. 5+ years of accounting experience.,"$55,000 - $65,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DR7uEmWe2cxn1LitpUWUqYoAZlBbVUijOGGe_5SZR4r5B46sJwWnF15zQCm9AkF7VV9n43UezRCJSbwvEUUSJhOF74hQGlq0UfF2i_JcsfBY13HwzNlc__y_ymWmgpFizMeH-vmqPMmpClI_6F0ufIK5bM4XGkTyTrr3YG7zEilCCQoPF47ocSJMqfovXZKTo0ObIDDMNxU6ESxQ3ZaFJtpUI8fFg4fjx-a3rR_VpVtzsSILP6tjhTdDHL_xlP7Yql7VbfR1aw1rnI2CGwVoj5dgVoh9I-Upe01-3Jr4CHMEp8iy1WIO3PBna3X0wZZoBzytccoSDN3M-f5tix8P8MIqwTcbLH7iOo0PUSzyDjw9tdhM77U7guauQs2KaGzTUN93DiXmCAexnfMwT16plu1CqKqLmeIVfoEFNRpa8l54YKPxzv0-VQBQxCpRGnYQ0J_X669Cq9VrZw0GW4X3vM&p=3&fvj=1&vjs=3
Senior Tax Associate,Parsons CPA PLLC,"Charlotte, NC",30+ days ago,2020-09-03,"A rapidly growing Charlotte CPA firm with 20+ plus professionals is searching for executive level public accounting professionals, including partners,…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B5TkFxHlCYPo0vOBXpj4zNlUT5EFD3OPS87FtW3bAXRSQ8I2VemwZ3Z-no8Ww8QXUAoP4AQ5EHG36be9WHwgGH4g27kkFIyNiEB4jNNj6tyXpp7Xm44OEBtb1Srw4hITfjvrm-X7D3vuWSge6sEXJClHMk5sL1aCHSkYykjf6uaA-UILaDBh7T8Jn86z_dpdySCUH20IOyrCDiffZy8LkOafzJ1TT6B24_UadC0RrUo0f9Rrsc879s_oSLxBd015J7M0t9iUJuc3orvFtxtA7gF4vqXVrUFq77itdLGYJpK4mQ0P-rTnfkHOzFgDF_FSltiB6D7yYjAr1-KzSSVfxaIkCVNf2tuVTKPlNOve5LNGViFSbbQxRw6oYiQp1BWT5W51b17hK2j_PT5s56YfQQ_gz_laPd7a3RXCgAzcB4dnDtpMNb6SZAD3NOvU8UTTmMx_hdk8GcufsZWQyInrD9JqQnVmnFeWA=&p=4&fvj=1&vjs=3
Senior Accountant,Vaco,"Charlotte, NC",1 day ago,2020-09-03,Excellent critical thinking skills when analyzing account activity and assessing current business processes. Perform various month-end close activities.,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6tqP4Gdv5Jk31R9C4XnmvX9FoHYfQ0qPr2O_O2RVHFADXbaFy-bQhUcIFSZJIVm2nhFmVthT-YYQw8V4G71NXc55qL0MZTrNT31cCMXWQBBifHqvoy_qsl6sVkIBi66Tw0Q2uXls0quCEMpTjeOAaUC-VKscOEARjHQF2P9CON4BNWni5fznzYGXRNo3zzVY5xZs5RzjDJBaBLzl11FWBGL3Va5XI6B5WM3Q2bp2_Kj0Da2zucczPEuBAXEEybswqnrcua3BvzYzhVXxoMVxYV4YdZFieofR49jIBPS4FYUSZiZmgkf36_7q5_N9bAVaUUIM0xUkAfswuP84fFCX--T9OW4UqyC0YnVa7tf4n9crTrvzgHcBWxeRvfNNDVdnqfv1IOJpCiEg3M4qIZuAJdAyX_bMI4YpWjZtfgKqhzx723m9aC6CmVbM3qzf-0WHwGXsZytPlrvCA==&p=5&fvj=0&vjs=3
CPA Senior Tax Accountant,Ken R Adams CPAs PA,"Charlotte, NC",30+ days ago,2020-09-03,"We offer 401k matching, health insurance and paid vacation.","$45,000 - $135,000 a year",https://www.indeed.com/company/Adams-&-Clark-CPAs-PA/jobs/CPA-Senior-Tax-Accountant-420ca45738917335?fccid=95658e3e279ac7bb&vjs=3
Sr. Tax Accountant,Holden Sours CPA PLLC,"Charlotte, NC",7 days ago,2020-09-03,Tax accountant with at least 2-3 years of tax preparation experience needed to assist small firm with individual and business filings.,$22 - $27 an hour,https://www.indeed.com/company/Holden-Sours-CPA-PLLC/jobs/Senior-Tax-Accountant-1c131352e9b2cc66?fccid=5d070af7e4a8aef9&vjs=3
Senior Tax Accountant,SunTrust,"Charlotte, NC",30+ days ago,2020-09-03,Minimum of 2 - 3 years of corporate tax experience at a public accounting firm or other comparable industry experience.,,https://www.indeed.com/rc/clk?jk=2eb7bc0363e9709b&fccid=131f8387a45b81d9&vjs=3
Audit Senior,Elliott Davis,"Charlotte, NC",2 days ago,2020-09-03,"Plan, supervise and perform financial statement audits for clients. Evaluate client's internal control systems and develop recommendations to improve client…",,https://www.indeed.com/rc/clk?jk=7a8849f8ec9e6b99&fccid=a3b99287cfeec2b7&vjs=3
Sr. Accountant,P2 Consultancy Services,"Charlotte, NC",30+ days ago,2020-09-03,"Develop, implement, modify, and document record keeping and accounting systems making use of current computer technology. Preparing budget and variance reports.",,https://www.indeed.com/rc/clk?jk=c82bf19dd96dd669&fccid=17c46caafa9396ec&vjs=3
